name;last_name;birth_date;id;city;town;symptoms;description;status
Máximo;Urías;28/05/1985;25386362194;Escuintla;Palín;Fiebre, Tos seca, Escalofríos y dolores corporales;Comalapa, Nicaragua;Confirmado
Tosca;Avilés;23/10/1924;23275460183;Retalhuleu;Retalhuleu;Fiebre, Dificultad respiratoria;Belisario Dominguez, Mexico;Confirmado
Ammiel;Ballesteros;3/10/1980;23632793132;El Progreso;Sanarate;Fiebre, Tos seca;Jose Maria Morelos, Mexico;Confirmado
Winifreda;Rivera;19/06/1994;27246473227;Huehuetenango;La Libertad;Fiebre, Tos seca;Ojos de Agua, Honduras;Sospechoso
Rafel;Castro;2/07/1962;235739882210;Retalhuleu;Champerico;Fiebre, Cansancio;La Loma, Panama;Recuperado
Dagmar;Salinas;6/02/1977;22271184161;Escuintla;Siquinalá;Fiebre, Cansancio, Escalofríos y dolores corporales;Monroe, Estados Unidos;Confirmado
Camille;Granados;9/05/1984;1973426682;Guatemala;Guatemala;Fiebre, Dificultad respiratoria;Pueblo Nuevo, Panama;Recuperado
Jade;Bustos;5/01/1953;24999948227;Quiché;Zacualpa;Fiebre, Tos seca;Minneapolis, Estados Unidos;Confirmado
Yeray;Guerrero;10/01/2010;2925689866;Guatemala;Amatitlán;Fiebre, Tos seca;Guadalupe, Mexico;Sospechoso
Jordi;Perea;2/02/2016;25920127141;Guatemala;Mixco;Fiebre, Cansancio;Obrera, Mexico;Sospechoso
Brutus;Balderas;17/07/1975;22360462132;Sololá;Panajachel;Fiebre, Tos seca;Indianapolis, Estados Unidos;Recuperado
Camil;Gallegos;7/09/2017;29522735171;Guatemala;Guatemala;Fiebre, Tos seca;Colima, Costa Rica;Confirmado
Ageo;Girón;6/10/2002;2464914064;San Marcos;Malacatán;Fiebre, Dificultad respiratoria;La Paz, Mexico;Confirmado
Wendy;Curiel;10/05/1971;25334102113;Sololá;Panajachel;Fiebre, Dificultad respiratoria;Phoenix, Estados Unidos;Recuperado
Magda;Ponce;9/01/1955;21006762610;Escuintla;Siquinalá;Fiebre, Cansancio, Escalofríos y dolores corporales;Madrid, España;Confirmado
Africa;Vaca;6/12/1938;19161520168;Guatemala;Chinautla;Fiebre, Cansancio, Escalofríos y dolores corporales;Alexandria, Estados Unidos;Sospechoso
Geraldina;Razo;6/01/1955;2800016631;Sololá;Sololá;Fiebre, Tos seca, Escalofríos y dolores corporales;Paraíso, Panama;Confirmado
Norman;Lemus;15/04/1999;2731175949;Chimaltenango;Tecpán;Fiebre, Cansancio, Escalofríos y dolores corporales;Guadalupe, Mexico;Confirmado
Crisanto;Maya;11/11/1970;2128524537;Huehuetenango;Ixtahuacán;Fiebre, Dificultad respiratoria;Sacramento, Estados Unidos;Sospechoso
Irupé;Castellanos;22/11/1988;2633548084;Quetzaltenango;Quetzaltenango;Fiebre, Tos seca;Madison, Estados Unidos;Recuperado
Paddy;Padrón;28/02/1949;2012678944;Huehuetenango;Ixtahuacán;Fiebre, Tos seca, Escalofríos y dolores corporales;Aurora, Estados Unidos;Recuperado
Lea;Navarrete;13/05/1940;2267233392;Izabal;Puerto Barrios;Fiebre, Tos seca;Hidalgo, Mexico;Confirmado
Septimo;Puga;18/11/2015;25528229194;San Marcos;Comitancillo;Fiebre, Dificultad respiratoria;Tarragona, España;Confirmado
Nino;Puente;25/10/1950;26806665213;Retalhuleu;San Felipe;Fiebre, Tos seca;Washington, Estados Unidos;Recuperado
Viv;Frías;29/10/1961;19838534161;San Marcos;Malacatán;Fiebre, Dificultad respiratoria;Washington, Estados Unidos;Recuperado
Rafael;Meraz;18/07/1943;24622879229;San Marcos;Malacatán;Fiebre, Dificultad respiratoria;Chuarrancho, Guatemala;Recuperado
Leonides;Parra;29/06/1973;2527542813;Jalapa;San Luis Jilotepeque;Fiebre, Tos seca;Tempe, Estados Unidos;Sospechoso
Eira;Orozco;17/06/1948;198039811010;Zacapa;Teculután;Fiebre, Cansancio;Venustiano Carranza, Mexico;Sospechoso
Jocabed;Soto;13/05/1958;263077121910;Izabal;Livingston;Fiebre, Cansancio, Escalofríos y dolores corporales;San Antonio Suchitepéquez, Guatemala;Recuperado
Kathryn;Arroyo;13/08/1971;20274231229;Sololá;Sololá;Fiebre, Cansancio;Colima, Costa Rica;Recuperado
Fedor;Montenegro;30/01/1932;22437572119;Sololá;Panajachel;Fiebre, Dificultad respiratoria;Araulí, Honduras;Confirmado
Davina;Cortés;7/08/1928;2380536489;Guatemala;Villa Nueva;Fiebre, Cansancio, Escalofríos y dolores corporales;Buenavista, Mexico;Confirmado
Styalianos;Cotto;12/10/1930;238745131110;Chiquimula;Jocotán;Fiebre, Cansancio;Guadalupe, Panama;Sospechoso
Osmundo;Estévez;26/02/1951;27948912144;Guatemala;Villa Nueva;Fiebre, Cansancio, Escalofríos y dolores corporales;Turrialba, Costa Rica;Confirmado
Antipas;Gurule;20/06/1970;24671039142;San Marcos;San Marcos;Fiebre, Cansancio, Escalofríos y dolores corporales;Richmond, Estados Unidos;Sospechoso
Hernando;Avilés;28/11/1981;25251351185;Guatemala;San Raymundo;Fiebre, Tos seca, Escalofríos y dolores corporales;Albany, Estados Unidos;Sospechoso
Zunilda;Anguiano;17/09/1990;24828225173;Sololá;San Antonio Palopó;Fiebre, Cansancio;Amarillo, Estados Unidos;Confirmado
Benedicto;Macías;29/01/1962;24395187310;San Marcos;Catarina;Fiebre, Cansancio;Charlotte, Estados Unidos;Sospechoso
Telma;Perales;10/08/1963;29648676205;Chiquimula;Chiquimula;Fiebre, Tos seca, Escalofríos y dolores corporales;Omaha, Estados Unidos;Recuperado
Ester;Mascarenas;3/01/1925;19864044187;Retalhuleu;Santa Cruz Muluá;Fiebre, Tos seca;Guadalupe, Mexico;Confirmado
Cara;Ballesteros;5/12/1922;28570300135;San Marcos;Malacatán;Fiebre, Tos seca;Honolulu, Estados Unidos;Sospechoso
Salomé;Naranjo;11/09/2007;24476632141;Izabal;El Estor;Fiebre, Cansancio;Milwaukee, Estados Unidos;Sospechoso
Acab;Ramírez;2/05/1946;20867721136;Escuintla;Iztapa;Fiebre, Tos seca;El Jícaro, Guatemala;Confirmado
Osmán;Echevarría;29/07/1952;2822002965;Escuintla;Siquinalá;Fiebre, Cansancio, Escalofríos y dolores corporales;Huntsville, Estados Unidos;Confirmado
Calquín;Padrón;28/03/2005;23329779117;Zacapa;Cabañas;Fiebre, Cansancio;Irving, Estados Unidos;Recuperado
Yair;Polanco;18/05/1997;28090845209;Sololá;Panajachel;Fiebre, Dificultad respiratoria;Agua Fría, Honduras;Recuperado
Ilona;Tejada;28/04/2005;1989374697;San Marcos;San Marcos;Fiebre, Tos seca;San Francisco, Estados Unidos;Recuperado
Christine;Longoria;8/07/1943;29719287173;San Marcos;Comitancillo;Fiebre, Tos seca;Concordia, Honduras;Recuperado
Anunciación;Abrego;17/02/1969;2436309621;San Marcos;Comitancillo;Fiebre, Tos seca;Naples, Estados Unidos;Sospechoso
Reinaldo;Olivo;19/08/2017;2376082665;Escuintla;Iztapa;Fiebre, Cansancio, Escalofríos y dolores corporales;San Marcos, Mexico;Recuperado
Eliel;Holguín;12/10/1955;251894991010;Sololá;Panajachel;Fiebre, Cansancio, Escalofríos y dolores corporales;Jardin, Mexico;Recuperado
Aristides;Alvarez;24/07/1939;2008055964;Quiché;Santa María Nebaj;Fiebre, Cansancio;Managua, Nicaragua;Confirmado
Aniria;Saavedra;15/01/1998;21728603114;Sololá;San Antonio Palopó;Fiebre, Dificultad respiratoria;Humble, Estados Unidos;Sospechoso
Paine;Pina;24/01/1952;22426987135;Suchitepéquez;Samayac;Fiebre, Cansancio, Escalofríos y dolores corporales;Knoxville, Estados Unidos;Sospechoso
Desdémona;Villareal;3/08/1952;23066761149;Huehuetenango;San Rafael La Independencia;Fiebre, Tos seca;Carson City, Estados Unidos;Confirmado
Modesto;Gaitán;9/12/1979;25796594101;Izabal;El Estor;Fiebre, Tos seca;David, Panama;Recuperado
Rode;Polanco;16/11/1987;294943891010;Jalapa;Jalapa;Fiebre, Tos seca;Dallas, Estados Unidos;Recuperado
Solón;Alonso;21/03/1999;26069234610;Sololá;Panajachel;Fiebre, Dificultad respiratoria;Pueblo Nuevo, Panama;Recuperado
Restituto;Samaniego;16/11/2006;2219351722;Santa Rosa;Chiquimulilla;Fiebre, Dificultad respiratoria;Fresno, Estados Unidos;Recuperado
Rachelle;Vigil;29/04/1978;269606302210;Guatemala;Guatemala;Fiebre, Cansancio;Oakland, Estados Unidos;Sospechoso
Hermelando;Villaseñor;20/07/1997;27873509127;Escuintla;Siquinalá;Fiebre, Tos seca;Corquín, Honduras;Confirmado
Obdulio;Salinas;11/11/1976;20599365166;Guatemala;Guatemala;Fiebre, Tos seca;Santa Cruz De Tenerife, España;Recuperado
Aparicio;Juárez;14/05/1957;2891082776;Escuintla;San José;Fiebre, Tos seca, Escalofríos y dolores corporales;Larreynaga, Nicaragua;Sospechoso
Iraida;Gastelum;13/02/1940;28118063102;Guatemala;Fraijanes;Fiebre, Tos seca, Escalofríos y dolores corporales;Lafayette, Estados Unidos;Sospechoso
Piera;Garrido;2/11/1979;20603276194;Guatemala;Guatemala;Fiebre, Dificultad respiratoria;Independencia, Mexico;Recuperado
Ottón;Alcaraz;15/03/1955;1967159369;Escuintla;Iztapa;Fiebre, Cansancio, Escalofríos y dolores corporales;Gainesville, Estados Unidos;Recuperado
Lion;Guevara;20/02/1959;2617325253;San Marcos;Catarina;Fiebre, Tos seca;Newark, Estados Unidos;Recuperado
Privato;Ceballos;19/12/1989;24713756181;Santa Rosa;Taxisco;Fiebre, Tos seca;Van Nuys, Estados Unidos;Recuperado
Laurelino;Huerta;26/09/1928;2522385223;Santa Rosa;Cuilapa;Fiebre, Tos seca;Santiago De Compostela, España;Recuperado
Guadalberto;Quiroz;5/11/1987;27235285169;Guatemala;Villa Nueva;Fiebre, Dificultad respiratoria;Saint Joseph, Estados Unidos;Confirmado
Ezio;Mesa;8/03/2011;28532632162;Chiquimula;Jocotán;Fiebre, Tos seca, Escalofríos y dolores corporales;El Quetzal, Guatemala;Confirmado
Atalo;Torres;5/10/1997;19849584169;San Marcos;Malacatán;Fiebre, Tos seca;Lindavista, Mexico;Sospechoso
André;Longoria;12/11/2008;23785056184;El Progreso;San Antonio La Paz;Fiebre, Dificultad respiratoria;San Antonio, Mexico;Sospechoso
Jessenia;Varela;4/03/2016;23172761201;Izabal;Livingston;Fiebre, Dificultad respiratoria;Baja Mar, Honduras;Confirmado
Stefania;Olivares;2/01/1986;2098123916;Izabal;Los Amates;Fiebre, Cansancio;Chepo, Panama;Recuperado
Irta;Mena;24/11/1969;1971481354;San Marcos;Catarina;Fiebre, Cansancio, Escalofríos y dolores corporales;Lawrenceville, Estados Unidos;Confirmado
Nidia;Díaz;6/09/1927;29641673219;Huehuetenango;Santa Bárbara;Fiebre, Cansancio;Saint Louis, Estados Unidos;Recuperado
Privato;Ruvalcaba;6/07/2000;27380376108;Guatemala;Mixco;Fiebre, Cansancio, Escalofríos y dolores corporales;Ejidal, Mexico;Recuperado
Isachar;Espinoza;17/11/1975;22496528210;Huehuetenango;Soloma;Fiebre, Dificultad respiratoria;Danbury, Estados Unidos;Recuperado
Fergus;Medrano;1/04/1961;22903831210;Jalapa;San Luis Jilotepeque;Fiebre, Cansancio, Escalofríos y dolores corporales;Pacora, Panama;Sospechoso
Anastasio;Padrón;11/09/1925;19841165137;Guatemala;Villa Nueva;Fiebre, Cansancio;Amapala, Honduras;Confirmado
Tecla;Pedroza;13/01/1982;22822704210;Guatemala;Mixco;Fiebre, Tos seca;Staten Island, Estados Unidos;Sospechoso
Virna;Chávez;14/09/1947;2061779319;Quiché;Chajul;Fiebre, Dificultad respiratoria;La Reforma, Guatemala;Confirmado
Thelma;Madera;17/09/1930;28244366111;San Marcos;Ayutla;Fiebre, Cansancio;La Sarrosa, Honduras;Recuperado
Traful;Tijerina;20/08/1975;242102291210;Escuintla;San José;Fiebre, Tos seca, Escalofríos y dolores corporales;Quesada, Costa Rica;Confirmado
Armand;Blanco;19/09/1942;2073000444;Izabal;El Estor;Fiebre, Cansancio, Escalofríos y dolores corporales;Jerez, Guatemala;Sospechoso
Dennis;Quintero;27/04/1933;2236749384;Alta Verapaz;Tamahú;Fiebre, Cansancio, Escalofríos y dolores corporales;San Rafael Petzal, Guatemala;Confirmado
Tránsito;Prado;4/12/1966;2998100257;Escuintla;Iztapa;Fiebre, Cansancio;San Juan Sacatepéquez, Guatemala;Recuperado
Betiana;Carrasquill;27/05/2010;277899921410;Petén;San Benito;Fiebre, Tos seca, Escalofríos y dolores corporales;La Libertad, Nicaragua;Recuperado
Zafiro;Camacho;27/05/1984;21158407223;Guatemala;Villa Nueva;Fiebre, Cansancio, Escalofríos y dolores corporales;Las Flores, Mexico;Sospechoso
Valiant;Figueroa;25/10/2003;2413304511;Zacapa;Estanzuela;Fiebre, Tos seca;Guadalupe, Mexico;Sospechoso
Lala;Carreón;23/02/1989;2919260353;Retalhuleu;San Felipe;Fiebre, Tos seca;Lleida, España;Sospechoso
Samir;Murillo;27/02/2019;23782884210;San Marcos;Malacatán;Fiebre, Cansancio;Acatenango, Guatemala;Recuperado
Ahmend;Caraballo;1/06/1931;25033160157;Izabal;Los Amates;Fiebre, Tos seca;San Jose, Mexico;Recuperado
Evelio;Orta;29/09/2007;22813368181;Jalapa;San Manuel Chaparrón;Fiebre, Tos seca, Escalofríos y dolores corporales;La Libertad, Honduras;Confirmado
Erminia;Ruiz;12/03/1940;23405415205;Guatemala;Villa Nueva;Fiebre, Dificultad respiratoria;San Sebastian, Mexico;Sospechoso
Andrónico;Narváez;22/12/1985;29237735145;El Progreso;Guastatoya;Fiebre, Tos seca, Escalofríos y dolores corporales;Esquipulas, Guatemala;Recuperado
Alison;Tirado;14/04/1976;20727877163;San Marcos;San Marcos;Fiebre, Tos seca, Escalofríos y dolores corporales;Yalagüina, Nicaragua;Confirmado
Dugen;Verdugo;21/09/2008;23360121151;Guatemala;Guatemala;Fiebre, Tos seca;Miami Beach, Estados Unidos;Confirmado
Ina;Alaniz;27/02/1982;28805459162;Santa Rosa;Guazacapán;Fiebre, Tos seca, Escalofríos y dolores corporales;Kansas City, Estados Unidos;Sospechoso
Fantino;Guzmán;6/05/1924;28814131218;Jutiapa;Comapa;Fiebre, Cansancio, Escalofríos y dolores corporales;Pescara, Italia;Sospechoso
Haig;Guevara;23/08/1936;25021705154;San Marcos;Comitancillo;Fiebre, Tos seca;León, Nicaragua;Sospechoso
Alfred;Aguilar;15/08/1952;23352156139;San Marcos;San Marcos;Fiebre, Dificultad respiratoria;Chuarrancho, Guatemala;Confirmado
Nela;Valdez;21/07/2011;19960323109;Guatemala;Fraijanes;Fiebre, Tos seca, Escalofríos y dolores corporales;Guadalupe, Costa Rica;Confirmado
Venancia;Muñoz;2/03/1937;2276164943;Jalapa;Jalapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Pittsburgh, Estados Unidos;Confirmado
Vic;Velásquez;2/11/1975;2383843531;Guatemala;Villa Nueva;Fiebre, Tos seca;Hicksville, Estados Unidos;Sospechoso
Edelweiss;Juárez;24/08/1928;2357385172;Escuintla;Siquinalá;Fiebre, Cansancio;San Lorenzo, Guatemala;Sospechoso
Polo;Rojas;28/09/1954;27577492147;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;Masaya, Nicaragua;Recuperado
Brunilda;Alicea;20/06/1970;2391096472;Retalhuleu;San Felipe;Fiebre, Tos seca, Escalofríos y dolores corporales;San Cristobal, Mexico;Sospechoso
Loreley;Ybarra;3/07/2015;1996419284;San Marcos;Malacatán;Fiebre, Cansancio, Escalofríos y dolores corporales;La Mesa, Panama;Recuperado
Sinclética;Saenz;24/06/1940;29357630187;Petén;San José;Fiebre, Cansancio;San Rafael, Mexico;Sospechoso
Pulqueria;Quiñónez;20/04/2013;2135969935;Quetzaltenango;Almolonga;Fiebre, Cansancio;Chepo, Panama;Confirmado
Alaide;Contreras;8/07/1964;25452771209;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Venustiano Carranza, Mexico;Recuperado
Bicor;Díaz;30/09/1990;28597804142;Zacapa;Cabañas;Fiebre, Cansancio;El Paisnal, El Salvador;Confirmado
Tosca;Leyva;16/03/1980;22017346106;Chimaltenango;Santa Apolonia;Fiebre, Dificultad respiratoria;Nacaome, Honduras;Confirmado
Marcelina;Torres;19/09/1994;2092821057;San Marcos;Comitancillo;Fiebre, Cansancio, Escalofríos y dolores corporales;Irving, Estados Unidos;Recuperado
Elisenda;Raya;28/06/1920;20672370195;Guatemala;Fraijanes;Fiebre, Tos seca, Escalofríos y dolores corporales;Baltimore, Estados Unidos;Sospechoso
Hugolino;Marín;1/02/1974;26925196196;Guatemala;Mixco;Fiebre, Cansancio;Ozatlán, El Salvador;Recuperado
Danisa;Cordero;8/01/1988;19215875114;Suchitepéquez;San Francisco Zapotitlán;Fiebre, Cansancio;Flushing, Estados Unidos;Recuperado
Quintín;Mota;23/05/1960;19514418103;Escuintla;San Vicente Pacaya;Fiebre, Tos seca;Buenos Aires, Mexico;Sospechoso
Rogelia;Armas;20/08/1950;21236309148;Chiquimula;Ipala;Fiebre, Tos seca;Cucuyagua, Honduras;Recuperado
Archibaldo;Orta;9/09/1946;27684146151;Suchitepéquez;San Francisco Zapotitlán;Fiebre, Dificultad respiratoria;Greensboro, Estados Unidos;Sospechoso
Octaviano;Parra;20/06/1947;29521311113;Chiquimula;Olopa;Fiebre, Dificultad respiratoria;Siuna, Nicaragua;Sospechoso
Betsy;Camarillo;1/10/1988;25294390193;Huehuetenango;La Libertad;Fiebre, Dificultad respiratoria;El Tránsito, Honduras;Confirmado
Morris;Rodríguez;2/06/1953;26848719223;Escuintla;Palín;Fiebre, Cansancio;Columbus, Estados Unidos;Sospechoso
Libitina;Segovia;22/02/1982;20337441159;Zacapa;Usumatlán;Fiebre, Cansancio;Amarillo, Estados Unidos;Sospechoso
Penélope;Anaya;7/08/2016;19782170177;Guatemala;Guatemala;Fiebre, Tos seca;Odessa, Estados Unidos;Confirmado
Iluminada;Orozco;12/04/1970;2943731732;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;Tulsa, Estados Unidos;Sospechoso
Pompei;Peres;5/02/1922;257449301910;Guatemala;Guatemala;Fiebre, Cansancio;Pontevedra, España;Confirmado
Aleda;Perales;20/05/1974;27874464610;Guatemala;Villa Nueva;Fiebre, Cansancio;Lindavista, Mexico;Recuperado
Ticiano;Sánchez;5/02/1991;19640013134;Totonicapán;Totonicapán;Fiebre, Tos seca;Garden Grove, Estados Unidos;Confirmado
Mijail;Mesa;25/09/1937;29688946105;Jutiapa;Jerez;Fiebre, Dificultad respiratoria;Houston, Estados Unidos;Sospechoso
Nelly;Casanova;19/04/1997;2761702413;Baja Verapaz;Granados;Fiebre, Tos seca;Independencia, Mexico;Confirmado
Teodequilda;Romo;22/10/1924;21722485187;Zacapa;Estanzuela;Fiebre, Cansancio, Escalofríos y dolores corporales;Baltimore, Estados Unidos;Sospechoso
Elisenda;Arana;2/08/1951;19245750210;Escuintla;Iztapa;Fiebre, Tos seca, Escalofríos y dolores corporales;San Francisco, Estados Unidos;Confirmado
Margarita;Reynoso;4/09/1961;2846809957;San Marcos;Ayutla;Fiebre, Cansancio;San Isidro, Costa Rica;Sospechoso
Clio;Camacho;25/04/2003;2776438113;Escuintla;Siquinalá;Fiebre, Cansancio;Los Angeles, Estados Unidos;Sospechoso
Ñambi;Matos;10/01/1990;29241226127;Guatemala;San Raymundo;Fiebre, Tos seca;Morelos, Mexico;Sospechoso
Eudora;Jimínez;7/09/1952;2175804228;Guatemala;Villa Nueva;Fiebre, Cansancio, Escalofríos y dolores corporales;Santa Cruz Balanyá, Guatemala;Sospechoso
Lara;Luna;6/10/1932;26449619171;Sololá;Sololá;Fiebre, Dificultad respiratoria;High Point, Estados Unidos;Recuperado
Leontina;Alanis;15/09/2013;27473909208;Escuintla;Siquinalá;Fiebre, Tos seca;Río Sereno, Panama;Confirmado
Dugen;Mendoza;15/04/1959;2701147957;Guatemala;Guatemala;Fiebre, Cansancio, Escalofríos y dolores corporales;New York City, Estados Unidos;Recuperado
Palma;Alicea;29/09/1963;26547943154;Quetzaltenango;Almolonga;Fiebre, Dificultad respiratoria;Tacoma, Estados Unidos;Recuperado
Chabela;Vargas;7/11/1955;2533157551;Escuintla;Siquinalá;Fiebre, Dificultad respiratoria;Oakland, Estados Unidos;Confirmado
Iara;Balderas;10/04/2006;2163835928;Huehuetenango;Cuilco;Fiebre, Cansancio, Escalofríos y dolores corporales;Barcelona, España;Recuperado
Máximo;Serrato;13/11/2014;2579837267;Sacatepéquez;Santa María de Jesús;Fiebre, Dificultad respiratoria;San Juan Atitán, Guatemala;Sospechoso
Serxio;Enríquez;21/12/1998;22832275211;Escuintla;Siquinalá;Fiebre, Dificultad respiratoria;Chacarita, Costa Rica;Recuperado
Naroa;Balderas;4/05/1957;2773233349;Guatemala;Guatemala;Fiebre, Cansancio;Philadelphia, Estados Unidos;Sospechoso
Bonfilia;Bernal;7/03/1936;2695933858;Quetzaltenango;Almolonga;Fiebre, Cansancio;San Isidro, Mexico;Sospechoso
Walkiria;Armijo;28/09/1959;236598471210;Escuintla;Palín;Fiebre, Tos seca, Escalofríos y dolores corporales;Albany, Estados Unidos;Confirmado
Adalbert;Castro;2/12/2018;19642222153;Sololá;Concepción;Fiebre, Cansancio;La Cruz, Costa Rica;Sospechoso
Rosemary;Romero;27/10/1960;20013723174;San Marcos;Catarina;Fiebre, Cansancio;El Triunfo, Honduras;Sospechoso
Ralph;Loya;9/12/1969;2386367321;Sacatepéquez;San Miguel Dueñas;Fiebre, Tos seca;Atlanta, Estados Unidos;Sospechoso
Jan;Espinal;22/12/1971;26530341102; Quetzaltenango; Cantel;Fiebre, Tos seca;El Paraiso, Mexico;Sospechoso
Cid;Barraza;22/06/1923;269385592110;Retalhuleu;Retalhuleu;Fiebre, Tos seca;Stamford, Estados Unidos;Sospechoso
Juan Carlos;Domínguez;16/05/2019;265671141010;Quiché;Sacapulas;Fiebre, Cansancio;Washington, Estados Unidos;Sospechoso
Denisse;Figueroa;16/10/1976;2974273876;Jutiapa;Jalpatagua;Fiebre, Cansancio, Escalofríos y dolores corporales;Tulsa, Estados Unidos;Recuperado
Laurindo;Sandoval;23/09/2009;22287973133;Guatemala;Guatemala;Fiebre, Dificultad respiratoria;Lazaro Cardenas, Mexico;Confirmado
Alba;Jaramillo;14/10/1968;21321527206;Quetzaltenango;San Carlos Sija;Fiebre, Tos seca;Stamford, Estados Unidos;Recuperado
Nancy;Lucero;6/12/1980;205972461210;Jutiapa;Jerez;Fiebre, Tos seca;Norwalk, Estados Unidos;Sospechoso
Edith;Tijerina;22/02/1951;29475200172;Huehuetenango;La Libertad;Fiebre, Cansancio, Escalofríos y dolores corporales;Kansas City, Estados Unidos;Sospechoso
Centola;Quintanilla;29/05/1948;2235509041;Jutiapa;Jalpatagua;Fiebre, Tos seca, Escalofríos y dolores corporales;San Felipe, Costa Rica;Sospechoso
Lotario;Rincón;14/07/1968;20908192179;Quiché;Pachalum;Fiebre, Tos seca, Escalofríos y dolores corporales;Torino, Italia;Confirmado
Samir;Chavarría;30/04/1960;2973517364;Retalhuleu;Santa Cruz Muluá;Fiebre, Tos seca, Escalofríos y dolores corporales;Birmingham, Estados Unidos;Recuperado
Edilio;Balderas;1/04/2005;2175482915;Guatemala;Guatemala;Fiebre, Cansancio;Yupiltepeque, Guatemala;Sospechoso
Irmina;Canales;6/11/1942;27878865208;San Marcos;Comitancillo;Fiebre, Dificultad respiratoria;Pittsburgh, Estados Unidos;Sospechoso
Abdías;Sotelo;16/09/2007;2822621236;Guatemala;Guatemala;Fiebre, Cansancio, Escalofríos y dolores corporales;Virginia Beach, Estados Unidos;Confirmado
Crisipo;Velasco;9/06/1948;20171108226;Quiché;Zacualpa;Fiebre, Tos seca;Memphis, Estados Unidos;Recuperado
Gaspard;Salcido;25/03/2019;29493161148;Sacatepéquez;San Miguel Dueñas;Fiebre, Tos seca;Miguel Hidalgo, Mexico;Confirmado
Felisardo;Quezada;11/01/1986;1982117289;Quetzaltenango;Quetzaltenango;Fiebre, Cansancio;Conroe, Estados Unidos;Sospechoso
Guillermina;Mayonga;19/04/1946;2139312861;Guatemala;San Raymundo;Fiebre, Cansancio, Escalofríos y dolores corporales;Greensboro, Estados Unidos;Confirmado
Víctor;Bueno;17/06/1971;25814206142;Escuintla;Nueva Concepción;Fiebre, Dificultad respiratoria;Houston, Estados Unidos;Recuperado
Maribel;Alanis;28/04/1941;25890876187;Retalhuleu;Santa Cruz Muluá;Fiebre, Cansancio, Escalofríos y dolores corporales;Gómez, Panama;Recuperado
Marziabo;Ramos;14/07/2012;27270882204;San Marcos;Malacatán;Fiebre, Tos seca, Escalofríos y dolores corporales;Canton, Estados Unidos;Recuperado
Darlene;Valle;23/07/1961;25290342165; Quetzaltenango; Quetzaltenango;Fiebre, Cansancio;Augusta, Estados Unidos;Confirmado
Sadoc;Beltrán;25/09/1956;24153152223;Totonicapán;San Bartolo;Fiebre, Tos seca, Escalofríos y dolores corporales;Calzada Larga, Panama;Recuperado
Santo;Domínguez;4/11/1940;29957798176;Escuintla;Palín;Fiebre, Tos seca, Escalofríos y dolores corporales;Palmas De Gran Canaria, Las, España;Confirmado
Anastasie;Orosco;23/12/2003;2737142382;Quetzaltenango;Quetzaltenango;Fiebre, Tos seca, Escalofríos y dolores corporales;Morazán, Honduras;Recuperado
Shulinen;Villa;24/08/1999;23986290204;Chimaltenango;Patzún;Fiebre, Tos seca;Huntington, Estados Unidos;Recuperado
Leylen;Venegas;12/12/1941;2352607096;Santa Rosa;Guazacapán;Fiebre, Tos seca, Escalofríos y dolores corporales;Fovissste, Mexico;Recuperado
Querubina;Benavidez;11/01/1976;23751566102;Escuintla;Palín;Fiebre, Dificultad respiratoria;San Sebastián, El Salvador;Recuperado
Aurele;Nieto;18/08/2014;19943711193;Guatemala;Guatemala;Fiebre, Dificultad respiratoria;Alvaro Obregon, Mexico;Sospechoso
Maura;Ocasio;30/09/1992;27938495162;Guatemala;Palencia;Fiebre, Dificultad respiratoria;Muskegon, Estados Unidos;Recuperado
Peer;Baeza;2/03/1926;2517769024;Escuintla;Iztapa;Fiebre, Cansancio, Escalofríos y dolores corporales;Mazatenango, Guatemala;Sospechoso
Argenis;Fernández;24/10/1997;29021531117;Retalhuleu;Champerico;Fiebre, Dificultad respiratoria;Morelos, Mexico;Confirmado
Brendano;Pedraza;18/10/1965;22802334165;Izabal;Morales;Fiebre, Dificultad respiratoria;San José Poaquil, Guatemala;Recuperado
Maximiano;Mares;15/08/1954;29520970151;Santa Rosa;Cuilapa;Fiebre, Cansancio;San Luis, Mexico;Recuperado
Lisbet;Rolón;2/06/2016;22164990142;El Progreso;San Cristóbal Acasaguastlán;Fiebre, Cansancio;Río Blanco, Nicaragua;Confirmado
Chandra;Salgado;17/06/1993;2873994192;Petén;San Benito;Fiebre, Tos seca;San Manuel Chaparrón, Guatemala;Confirmado
Farisa;Hernádez;29/08/1970;2867034642;Petén;Flores;Fiebre, Cansancio, Escalofríos y dolores corporales;Jacksonville, Estados Unidos;Recuperado
Melvin;Rivas;1/06/1948;24786389223;Santa Rosa;Cuilapa;Fiebre, Dificultad respiratoria;Guadalupe, Costa Rica;Recuperado
Jovanna;Tamez;22/03/1948;26710736188;Baja Verapaz;Cubulco;Fiebre, Dificultad respiratoria;Cincinnati, Estados Unidos;Recuperado
Tertulio;Concepción;11/09/2013;21073716135;Quetzaltenango;Cantel;Fiebre, Cansancio;Hospitalet De Llobregat, L', España;Recuperado
